text,labels
what research questions would you formulate for an anthropology study on cultural practices?,5
state the primary and secondary objectives of material management.,1
explain intel i860 processor with block diagram.,0
show the steps to calculate the perimeter of a rectangle.,2
explain in brief the exposure time calculation method for screen stencil making process.,0
find directional derivative of ïª  e2x cos  yz at the origin in the direction tangent to the curve r  a sin t  i  a cos t j  at k at t  4ï.,2
design an adjustable voltage regulator using lm 317 for output voltage from 10 to 20 v and draw the typical connection diagram.,2
describe in brief the various preventive measures against landslides.,0
explain why contango and backwardation happen in the commodity market.,1
do you agree...?,4
state the guidelines to design an anodic protection system,0
state the classification and applications of photogrammetry in surveying.,1
draw a color wheel diagram with primary and secondary color.,1
calculate the rate of habitat fragmentation within the colorado front range in the last decade.,2
draw one 1 organic shape and one 1 geometric shape. apply tone and shading.,2
explain the role of technology in innovation.,3
"differentiate between stack and heap memory allocation mechanisms in programming languages, explaining their implications on program performance.",1
explain any four applications of rfid?,3
write an algorithm to insert an element in a binary search tree implemented using linked representation.,0
what are the salient features of vegetable market building.,0
"you are tasked with developing a sustainable transportation infrastructure for a metropolitan city to promote multimodal mobility and reduce traffic congestion. create an integrated transportation network that includes public transit systems, bicycle lanes, pedestrian walkways, and smart mobility solutions such as ride-sharing and electric scooters, incorporating traffic simulation models, travel demand forecasting, and accessibility analysis for efficient and equitable urban transportation planning.",5
a t section with 200 mm x 50 mm and web 200 mm x 50 mm as shown in figure 1 is subjected to vertical shear force of 200 kn.,2
how landslides can be prevented?,2
"suppose youre analyzing stress distribution in a mechanical component subjected to varying loads. explain how you would apply finite element analysis fea techniques to model the geometry, material properties, and boundary conditions for stress simulation.",1
name the artist who painted the mona lisa.,0
write a short note on fibonacci search with suitable example.,0
what is modeling of dc motor?,0
describe pmts with suitable illustration.,0
"based on the aspartate protease mechanism, explain the concept of using crixivan to treat hiv patients.",1
give properties and application of pvc and polyethylene.,1
differentiate between normative and descriptive ethics.,1
invent a new technique for reducing noise and vibration in mechanical systems through active vibration control and structural damping.,5
propose and justify strategies for optimizing the performance of a web server handling millions of concurrent requests.,2
derive strain energy stored in a body when the load is suddenly applied.,3
"explain the reason why it is not necessary to include product cost price or price times quantity in the eoq model, but the quantity discount model requires the inclusion of product cost.",1
specify a deterministic finite automaton dfa recognizing the,2
explain with suitable example how binary tree can be represented using.,1
describe with block diagram ditital signal hierarchy using t1 carrier system.,1
"explain the concept of zero-trust security model, discussing its principles and benefits in modern network architectures.",1
describe diminishing of marginal product and explain the relationship between average product and marginal product by using an appropriate diagram.,1
"compute the duration for a five-year bond, rm1,000 par value bond with a 7 percent annual coupon which is trading at yield to maturity of 5 percent.",2
what modifications would you make to a fitness tracking app to improve accuracy?,5
a steel rod 6m long and 30 mm diameter is used as a column. one end is fixed and other is free. determine the crippling load by eulerâs formula.take e  200 gpa.,2
interpret the allegory in the story.,1
briefly explain the desire properties of aggregate in producing concrete mixture.,1
state the dirichlet conditions for the existence of fourier series.,1
explain four 4 benefits of using digital-out-of-home in advertising.,1
derive the expression with usual notations for total pressure and centre of pressure for vertical plane surface submerged in liquid.,3
state the procedure for tacheometric contouring?,2
explain the reasons of using a mixed-media approach by advertisers.,1
can you integrate machine learning algorithms into a healthcare diagnosis platform?,5
grade the usability of a mobile application.,4
identify the differences between symmetric and asymmetric encryption algorithms in terms of key distribution?,0
invent a method for converting waste heat from industrial processes into electricity using thermoelectric materials and organic rankine cycle orc systems.,5
how do you create a visually appealing website layout?,5
can you quote a line from a historical speech that you find meaningful?,0
differentiate between kaplan and pelton wheel turbine.,0
interpret the metaphor used in the poem.,1
"discuss the principles of earthquake-resistant design, explaining concepts such as seismic zones, design spectra, and ductile detailing.",1
"calculate the surface tension of a wetting liquid, c 1.23 gml-l  which rises 1.50 m in a vertical capillary tube with the internal radius of 0.15 mm.",2
identify the part of a eukaryotic cell.,0
how can you break down a complex algorithmic problem into its sub-problems?,3
"as a mechanical design engineer, you are developing a robotic exoskeleton for rehabilitation therapy. explain how you would apply biomechanics principles and ergonomic design considerations to ensure comfort, safety, and functionality for users.",2
explain why higher rates of nitrogen might be required for no tillage compared to conventional tillage.,1
write an algorithm for depth first traversal of a graph.,2
compare the various types of water distribution systems in terms of their efficiency and reliability.,1
explain additive colour theory and subtractive colour theory.,0
enlist different ceramic materials used in building construction.,0
differentiate between nominal and ordinal data,1
elaborate advantages and disadvantages of list sequential container.,0
explain the types of cooling curves.,0
solve a hypothetical scenario involving failure analysis of a dam structure and propose strategies for remediation and risk reduction.,2
your organization is expanding its global operations and requires a reliable network infrastructure to connect offices in different geographical locations. compare the advantages and limitations of using mpls multiprotocol label switching versus sd-wan software-defined wide area network for connecting remote sites.,3
how would you use principles of ecology to understand the interactions in a new ecosystem?,2
explain with suitable example sql aggretage functions.,0
a hollow circular shaft has external and internal diameter as 100 mm and 60 mm respectively.,2
design and make an animal that moves.,5
what are the characteristics of destructor?,0
"consider youre troubleshooting a network outage in an office environment. describe the steps you would take to diagnose the issue, starting from identifying the physical layer components to troubleshooting network protocols.",1
briefly explain if restriction mapping is useful in determining the presence of minisatellite.,1
explain reynolds number with example.,0
distinguish between the ripening behaviour of climacteric and non-climacteric fruits in terms of carbon dioxide release and ethylene synthesis.,3
suppose you are deploying a cloud-based file storage solution for a multinational corporation. describe how you would apply access control policies and identity management systems to enforce data privacy and regulatory compliance.,2
describe the classification of dyes on the basis of chemical structure.,1
assess the value of structural functionalist theories in sociology.,4
"evaluate the performance of different modulation schemes e.g., ask, fsk, psk in terms of spectral efficiency and noise immunity.",3
determine the macaulay duration and estimate the bond price if the yield increases by 100 basis points.,2
how can you experiment to study the effects of different teaching strategies on student performance?,2
write down the five 5 phases of the design process.,0
"imagine youre implementing a business intelligence bi solution for a retail chain. explain how you would use data visualization tools and dashboards to analyze sales trends, customer demographics, and inventory turnover.",1
propose a framework for implementing resilient building codes and standards in earthquake-prone regions to enhance structural safety and minimize earthquake damage.,5
explain the operation of sr flip flop with truth table.,1
evaluate ïï2. sxiy j z k d sïï ïï²ï² where s is the surface of cylinder 224 xyïï½ bounded by planes z  0 and z  2.,2
find the fourier transform of a constant signal ao.,2
why is it important to verify the value of evidence before accepting it?,4
how interrupts are handled in protected mode?,3
select the appropriate tools for a software development project.,4
restate the main arguments presented in the debate.,1
write down a c program to implement operator overloading for complex class.,2
analyse the frame shown in figure 4 by slope deflection method. assume uniform flexural rigidity.,2
name the five senses,0
can you describe the process of continental drift?,0
evaluate the potential environmental impacts of using biofuels for aviation and marine transportation.,2
evaluate   3 2 c5 12zdz zzâ âï²ï where c is the contour 3z.,2
describe working of monostable multivibrator with necessary diagrams and derivations.,1
list various types of flow control valve.,2
explain linux processes and thread management.,0
categorize the different types of leadership styles.,3
discuss two 2 common methods of managing inventory adopted by manufacturing and retailing companies.,1
draw and explain single bus organization of cpu?,3
restate the olympic motto in your own words.,1
model an olympic village for the new millenium.,2
determine the concentration of the unknown solution using titration.,2
interpret the motives of a complex character in a novel.,1
what is a segment?,0
"a transportation agency is analyzing the traffic flow dynamics of urban intersections for congestion mitigation. critically assess the intersection design elements, including signal timings, lane configurations, and pedestrian crossings. recommend traffic engineering solutions and intelligent transportation systems its technologies to optimize intersection performance and improve traffic flow efficiency.",4
debate the ethical implications of using unmanned aerial vehicles uavs for archaeological surveying and heritage preservation.,4
explain the operation of wien bridge oscillator with neat circuit diagram.,1
discuss the mechanism of e1 and e2 reaction of alkyl halides.,2
with suitable diagram explain constructional details and working of pirani gauge.,1
invent a method for automatically detecting and mitigating algorithmic bias in machine learning models using fairness-aware learning algorithms.,5
explain the working principle of turbine which is suitable for low head.,0
what season are we in right now?,0
write a program that returns the size in bytes of a program entered on the command line.,3
"evaluate the effectiveness of different intrusion detection systems ids in identifying and mitigating network attacks e.g., ddos, sql injection, malware.",3
explain various socket primitives used in connection oriented client server approach.,0
explain in brief four color separation method for screen printing process.,0
design the sequential circuit for the given state diagram using d flip flop.,2
write an 8051 c program to toggle only bit p2.,2
how do you design a sustainable packaging solution for electronics?,5
what is states of counter?,0
draw the market demand and supply curve.,1
draw  explain the working of inclined tube manometer? give the reason for its higher sensitivity.,0
express the following systems in matrix form,1
explain construction and working principle of single-phase induction motor.,0
retell the steps to implement operator overloading in c?,0
explain the geometry of a single point cutting tool with suitable sketches.,0
"if your story occurred long ago, compare that time with today in a good paragraph. if it was a modern story, compare it with a long time ago and tell what would be different.",3
briefly explain what a repo is.,1
determine the equilibrium position of a chemical reaction using equilibrium constants.,2
compare the various types of dams in terms of their structural characteristics and reservoir management.,1
what are the problems in rip?,0
compare the advantages and limitations of using analog and digital filters in signal processing applications such as audio and image filtering.,3
describe the sound of rain on a roof.,1
can you recall the steps to solve a quadratic equation?,0
sketch the type il isotherm and provide a brief description of its nature and the processes that gives rise to the isotherm.,2
draw and explain frequency response characteristics of ideal and practical low pass filter.,1
analyze the trade-offs between using traditional construction methods versus prefabrication for building affordable housing.,2
explain process reaction curve tuning method in detail.,0
briefly explain how aggregation processes could improve the water quality in a water treatment plant.,1
describe the interactions involved in stabilization of enzymes quaternary structure. explain which of these interactions is the least likely to be affected by denaturation at a liquid-liquid interface.,1
derive lagrangeâs interpolation formula for unequally spaced data points.,3
what is backface?,0
solve the geometry problem involving angles and polygons.,2
formulate an algorithm for optimizing the placement of access points in wi-fi networks to maximize coverage and minimize interference.,5
analyze the ethical dilemmas associated with the development and deployment of autonomous vehicles in transportation systems.,2
how do you infer the cultural influences on a culinary dish?,3
"draw 3 pictures showing the beginning, middle and ending of the story.",2
"assume the mean height of soldiers to be 68.22 inches with a variance of 10.8 inches square. how many soldiers in a regiment of 10,000 would you expect to be over 6 feet? assume area 0  z  1.15  0.3749 where z is the standard normal variate.",2
what is multiple inheritance?,0
debate the ethical considerations of using data analytics for personalized pricing strategies and dynamic tariffing in telecommunications services.,4
what are the geological requirement for the foundation of dam?,0
what is the concept of function pointers?,0
how would you use linguistic concepts to analyze the evolution of language in different cultures?,2
debate the ethical implications of using autonomous drones for agricultural spraying and crop monitoring.,4
name the event that led to the start of the american civil war.,0
construct an executive remuneration package using the remuneration framework as a guide.,2
design a novel propulsion system for unmanned aerial vehicles uavs that combines traditional combustion engines with electric propulsion for increased efficiency and range.,5
recognize the potential issues caused by race conditions in multithreaded programming?,0
what can you identify as the primary causes of climate change?,0
analyze the characteristics of frogs.,3
assess the relative effectiveness of different graphical representations of the same data or biological concept.,4
one percent of articles from a certain machine are defective.,2
how can you effectively use the gathered information in decision-making?,2
"interpret the concept of structural health monitoring, discussing sensors, data analysis techniques, and applications in assessing structural integrity.",1
how would you use statistical methods to interpret the results of a medical study?,2
how do you create an engaging user interface for a language learning app?,5
judge the reliability of fault diagnosis algorithms in identifying and isolating faults in mechanical systems.,4
"a renewable energy developer is planning a wind farm project in a rural area with high wind potential. analyze the wind turbine technologies e.g., horizontal-axis turbines, vertical-axis turbines, offshore turbines and recommend solutions for optimizing wind farm layout and turbine placement to maximize energy yield and minimize visual impact on the landscape.",3
can you identify the relationships between different characters storylines in a complex movie plot?,3
"explain the concept of stress concentration factors in mechanical components, discussing their calculation methods and effects on fatigue life.",1
list various properties required for bearing material?,0
how do you design an environmentally conscious public building for a community center?,5
recite the poem auto wreck.,0
critique the usability of a mobile application interface and propose improvements based on user feedback and ergonomic principles.,4
"recommend a suitable metal for the fabrication of power tools like drills, files and chisels. your recommendation should be justified by elaborating the important properties of the proposed metal.",4
explain the working of an universal motor with help of suitable diagram.,0
criticize the accuracy of a predictive analytics model for demand forecasting in retail industry.,4
describe material extrusion process in short.,0
a three phase 50 hz overhead transmission line consist of three conductors each of diameter 0.,2
quote the definition of a reinforced earth retaining wall in geotechnical engineering?,0
"suppose heights of students follows normal distribution with mean 190 cm and variance 80 cm 2. in a school of 1000 students, how many would you except to be above 200 cm tall? given, z  1.1180, a  0.3686.",2
name the property that states that,0
give basic definition of y parameters explain why y parameters are called short circuit admittance parameters.,0
what can you tell me about the history of the eiffel tower?,0
what steps are involved in composing a compelling short story?,5
revise and process to improve the outcome.,5
conclude the negotiation with a favorable outcome.,4
apply principles of ethics to solve a moral dilemma.,2
critically examine the strengths and weaknesses of the positivist paradigm,3
devise a framework for evaluating the interpretability and trustworthiness of machine learning models in critical decision-making applications.,5
"distinguish between static and dynamic polymorphism in object-oriented programming languages, providing examples of each.",3
list four conditions required in order for an animal population to remain at hardy-weinberg equilibrium.,0
write a note on sram.,0
what is parallel projection?,0
what is vhdl?,0
"discuss the principles of refrigeration cycles, explaining components such as compressors, condensers, and evaporators.",1
define and give significance for the following.,0
explain the virtual memory.,0
what are filters hydraulic systems?,0
how much time did he took to build a house,0
reproduce the steps to implement phase modulation using direct digital synthesis?,0
sketch and explain forward and inverse kinematics.,0
draw circuit diagram of practical integrator and explain its frequency response in detail.,1
determine the concentration of a solution through titration.,2
"in a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",2
explain architecture of distributed database system.,3
describe prisoner dilemma in the context of game theory.,0
draw the sketch of stair.,2
"explain the concept of hydrostatic pressure and its calculation in fluid systems, discussing its role in hydraulic engineering.",1
explain the factors affecting compaction of soil.,0
explain the types of construction excavation.,1
"the bullwhip measure can be used to analyze supply chains. nevertheless, inaccurate measures taken in addressing variance amplification can have ramifications. explain this statement.",1
"interpret the concept of probabilistic graphical models, discussing their use for representing and reasoning under uncertainty.",1
outline the stages of a software development process for mobile apps.,3
illustrate the process of meiosis using animations.,2
i explain the specific energy curve with neat sketch.,3
"in your own words, how would you define transferable skills",1
write down various applications of nanomaterials in chemical industries.,0
debate the ethical considerations of using autonomous robots for demolition and deconstruction of buildings.,4
elaborate on the importance of stability for industrial enzymes.,1
"how do the clauses and expressions given in the article which replace goto statements, lead to the three traditional control statements",5
how can you generate original concepts for an eco-friendly fashion line?,5
thomas 1976 has identified five styles in resolving a conflict such as avoidance. explain the other four 4 styles in resolving a conflict.,1
use residue theorem to evaluate 1  2 z cedzzzïïï²ïwhere c is the contour z  1  1 2.,2
critically analyze the challenges and benefits of implementing blockchain technology in the aerospace industry for managing aircraft maintenance records.,2
outline your experience in working with service users,1
how do you break down a complex medical diagnosis into its diagnostic criteria and patient history?,3
identify three 3 types of securities that are issued by malaysian government. explain each in detail.,1
draw and explain the task state segment of 80386.,0
using jacobi iterative method solve the following system of linear simultaneous equations. take x 0  y 0  z 0  0 perform 5 iterations.,2
"using a farm animal species of your choice, sketch a graph and describe the scenario that demonstrate a strong genotype by environmental interaction that could influence breeding objectives.",2
briefly describe four principles in selecting and purchasing breeding stock.,1
demonstrate the various types of chips formed during metal cutting.,0
assess the value of behaviorist theories in understanding learning.,4
what are the current trends in computer hardware platforms?,0
design and implement full subtractor using pal?,2
how would the u.s.a. be different if the south had won the civil war?,5
formulate a method for optimizing the structural design of tall buildings to withstand seismic forces and enhance occupant safety.,5
"a telecommunications company is evaluating the security measures of its 5g network infrastructure against potential cyber threats. critically assess the effectiveness of current security protocols, including encryption standards, authentication mechanisms, and intrusion detection systems. propose enhancements to strengthen network security and protect against emerging threats such as ransomware and ddos attacks.",4
write a short story relating a personal experience in the style of a picaresque novel.,5
which of the following is the method for determining the volume of a cylinder?,0
list the factors affecting compaction and explain the effect of compaction on any four soil properties.,1
tabulate the differences between a stateful and a stateless firewall?,0
a rectangular block of material is subjected to stresses on perpendicular planes as shown in figure below.,2
define concrete mix design.,0
define information systems is.,0
state the property of insulating material used for transformer.,0
derive with usual notations the basic governing âenergy equationâ of channel flow.,3
how can you use data from a recent survey to inform a business strategy?,2
an increase in the money supply will lead to an increase in the market equilibrium interest rate.â comment and justify the above statement with an appropriate diagram.,4
can you break down the components of a computers operating system?,3
justify why soil taxonomy is considered as a hierarchical classification system.,4
draw and explain the operation of single phase bridge rectifier supplying rl load.,1
list out the java features.,0
compare the benefits and drawbacks of using supervised learning and reinforcement learning approaches in training autonomous agents for decision-making tasks.,3
explain along with fig types of rolling contact bearings.,3
how do you build a structurally stable truss bridge?,5
recommend strategies for improving organizational culture.,4
imagine youre managing a data center for a web hosting company. describe the network segmentation and access control measures you would implement to isolate customer environments and prevent unauthorized access.,1
can you solve a complex math problem using the concepts of calculus?,2
"discuss the principles of software-defined storage sds, explaining its benefits in terms of scalability and flexibility.",1
state which market structure adopts this practice. list and briefly explain what are the conditions needed for this practice to be successful.,1
from the given traversal construct the binary tree.,2
find current i using thevenins theorem.,2
explain role of telecommunication.,0
write an explanatory note on rotary drum filter.,3
how would you use statistical methods to analyze patterns in demographic data?,2
what is call gate?,0
determine the vertical displacement of the joint c of the pin jointed frame as shown in figure below.,3
write a note on necessity and types of transition curves.,0
what is stability?,0
outline the steps of the problem-solving process.,3
define continuous time fourier transform and inverse continuous time fourier transform.,0
explain generation of saw tooth waveform using op-amp. draw input  output waveforms.,0
"a renewable energy company is assessing the environmental impact of concentrated solar power csp systems for solar energy generation. evaluate the life cycle assessments lcas of csp technologies, including land use, water consumption, and greenhouse gas emissions. propose sustainable csp plant designs and site selection criteria to minimize environmental footprint and promote renewable energy adoption.",4
interpret the concept of dimensional analysis and its applications in fluid mechanics and heat transfer.,1
draw and explain general structure of pal.,0
what steps are involved in composing an emotionally evocative film script?,5
explain distributive bargaining and integrative bargaining.,1
a retaining wall with a smooth vertical back retains a purely cohesive fill.,2
explain economizer.,0
apply laws of statistics to evaluate the reliability of a written test.,2
explain the effect of stereotyping young teenage in advertising on society.,1
illustrate the effect of an expansionary monetary policy. justify your answer with an appropriate diagram.,4
label the parts of a flower.,0
design a sequence generator using t ffs.,2
evaluate the evidence supporting the use of deep learning models for natural language processing tasks.,2
categorize the different types of social movements.,3
what is applet ? what is difference between applet and application?,0
differentiate between followings.,0
devise a new system for automatically detecting and mitigating signal jamming attacks in wireless communication systems using machine learning techniques.,5
explain method overriding with a suitable example program.,0
"compare the performance of different combustion processes e.g., spark ignition, compression ignition, diesel cycle in internal combustion engines.",3
"evaluate cfdrâ ï² for 2 ë ëë f 2 xi xyj z k   along the curve c x  t, y  t2, z  t3 from t  0 to t  1.",2
what associations does the term freedom bring up?,1
a cantilever beam of span 2.,2
argue for or against capital punishment.,4
"evaluate the seismic performance of different building structural systems e.g., moment-resisting frame, shear wall, braced frame in earthquake-prone regions.",3
when did saudi arabia start using internet,0
derive output voltage equation for three op-amps. instrumentation amplifier. draw neat circuit diagram.,3
sketch the type i isotherm and provide a brief description of its nature and the processes that gives rise to the isotherm.,2
recognize the purpose of the extern keyword in c programming?,0
what conclusions can you draw by combining data from different scientific studies?,5
compare matching demand and level aggregate production planning.,3
support your answers with one 1 example from everyday life for each type of personality.,4
judge the effectiveness of condition monitoring techniques in detecting incipient faults in rotating machinery.,4
define abcd parameters and hybrid parameters of two port networks.,0
define the term production possibility curve as used in the timber and steel factory.,0
what is importance and purpose of refining process in manufacturing of paper.,0
explain addressing modes of 8086.,1
show that the maximum number of edges in a simple graph with n vertices is n.,3
explain how the baud rate is set for serial communication in 8051 microcontroller.,1
explain armature reaction in dc machine with suitable diagrams.,1
explain how control transfer instructions are executed using the call gate in the system?,3
assess the effectiveness of a reinforcement learning algorithm in optimizing resource allocation in dynamic environments.,4
define the concept of automated production lines with suitable example.,0
explain the concept of social inequality.,1
state the classification and applications of photogrammetry in surveying?,0
"explain the concept of link budget analysis in wireless communication systems, discussing its role in determining the feasibility of communication links.",1
what is stream?,0
fertilizers a and b are tried respectively on 10 and 8 randomly choosen experimental plots.,2
describe the three 3 causes of concrete blister.,1
recognize the significance of the keyword structural analysis in civil engineering?,0
enlist graph traversal techniques and explain briefly.,0
name the two classes of monosaccharide. draw and name the simplest structure of molecule in each class.,1
judge the artistic value of a painting.,4
judge the effectiveness of a bug bounty program in identifying and resolving security vulnerabilities in software applications.,4
how many ways can you . . .?,5
with the help of pin diagram explain the functions of operational amplifier.,3
what associations are there with the idea of justice?,1
distinguish between dm and adm.,0
what conclusions can you draw by combining research findings from different medical studies?,5
illustrate with examples the reheap up and reheap down operations w.,0
"contrast the features and scalability of different web application firewalls e.g., proxy-based waf, cloud-based waf, appliance-based waf in protecting against web-based attacks.",3
draw an image using light and shadow to describe form most closely simulates how we perceive forms in nature.,1
what is mean by instruction format?,0
explain necessity horizontal and vertical controls in construction activity.,1
what are the considerations for natural lighting in a residential building?,2
could you explain how that concept works?,1
group these elements based on their shared chemical properties.,1
show me how to perform cpr on a mannequin.,0
"contrast the characteristics of narrowband and spread spectrum communication systems, discussing their respective advantages and limitations.",3
"examine what helps to make a good olympics? think about money, schedules, sports and people.",3
how do you infer the meaning of a word from its context?,3
"explain the concept of nyquist sampling theorem in signal processing, discussing its implications for analog-to-digital conversion.",1
"using an appropriate example, describe how competitive elisa works.",1
how do you build a functional robotic arm for industrial automation?,5
"as a data scientist, you are analyzing customer churn for a subscription-based service. explain how you would apply predictive modeling techniques such as logistic regression or random forests to forecast and mitigate customer attrition.",2
can you predict the outcome of the stock market based on historical data?,2
explain the disadvantages of polynomial representation using an array.,1
obtain a vl tree from the following data.,2
